Time_[sec] velocity_[m/s] position_[m/s]
0 0 0.306865
0.001 4.36179e-08 0.306866
0.002 1.74471e-07 0.306866
0.003 3.9256e-07 0.306865
0.004 6.97884e-07 0.306866
0.005 1.09044e-06 0.306867
0.006 1.57023e-06 0.306868
0.007 2.13726e-06 0.306867
0.008 2.79151e-06 0.306867
0.009 3.53299e-06 0.306867
0.01 4.3617e-06 0.306868
0.011 5.27763e-06 0.306868
0.012 6.28079e-06 0.306868
0.013 7.37117e-06 0.30687
0.014 8.54876e-06 0.306869
0.015 9.81357e-06 0.30687
0.016 1.11656e-05 0.306869
0.017 1.26048e-05 0.306868
0.018 1.41313e-05 0.306869
0.019 1.57449e-05 0.306869
0.02 1.74457e-05 0.30687
0.021 1.92338e-05 0.306869
0.022 2.1109e-05 0.306868
0.023 2.30714e-05 0.306869
0.024 2.51209e-05 0.306869
0.025 2.72577e-05 0.306867
0.026 2.94816e-05 0.306869
0.027 3.17927e-05 0.306868
0.028 3.41909e-05 0.306867
0.029 3.66763e-05 0.306867
0.03 3.92488e-05 0.306867
0.031 4.19085e-05 0.306868
0.032 4.46553e-05 0.306867
0.033 4.74893e-05 0.306867
0.034 5.04103e-05 0.306866
0.035 5.34185e-05 0.306867
0.036 5.65137e-05 0.306867
0.037 5.96961e-05 0.306867
0.038 6.29656e-05 0.306867
0.039 6.63221e-05 0.306867
0.04 6.97657e-05 0.306866
0.042 7.69141e-05 0.306867
0.043 8.06188e-05 0.306866
0.044 8.44106e-05 0.306868
0.045 8.82895e-05 0.306866
0.046 9.22553e-05 0.306866
0.047 9.63082e-05 0.306867
0.048 0.000100448 0.306866
0.049 0.000104675 0.306867
0.05 0.000108989 0.306868
0.051 0.000113389 0.306866
0.052 0.000117877 0.306868
0.053 0.000122452 0.306868
0.054 0.000127114 0.306869
0.055 0.000131862 0.306869
0.056 0.000136698 0.306868
0.057 0.00014162 0.306868
0.058 0.000146629 0.306868
0.059 0.000151725 0.306869
0.06 0.000156908 0.306868
0.061 0.000162178 0.306869
0.062 0.000167535 0.306869
0.063 0.000172978 0.306869
0.064 0.000178509 0.30687
0.065 0.000184126 0.306868
0.066 0.000189829 0.306869
0.067 0.00019562 0.306869
0.068 0.000201497 0.306869
0.069 0.000207462 0.306869
0.07 0.000213512 0.306869
0.071 0.00021965 0.306869
0.072 0.000225874 0.306869
0.073 0.000232185 0.306868
0.074 0.000238583 0.306868
0.075 0.000245067 0.306868
0.076 0.000251638 0.306868
0.077 0.000258295 0.306868
0.078 0.00026504 0.306868
0.079 0.00027187 0.306867
0.08 0.000278787 0.306867
0.081 0.000285791 0.306867
0.082 0.000292882 0.306867
0.083 0.000300058 0.306867
0.084 0.000307322 0.306867
0.085 0.000314671 0.306868
0.086 0.000322108 0.306867
0.087 0.00032963 0.306866
0.088 0.00033724 0.306866
0.089 0.000344935 0.306867
0.09 0.000352717 0.306867
0.091 0.000360585 0.306867
0.092 0.00036854 0.306866
